"carat";"color";"x";"y";"z";"price"
0,74;"F";5,8;5,84;3,57;2775
0,71;"E";5,74;5,68;3,58;2776
0,71;"E";5,79;5,62;3,55;2776
0,54;"E";5,25;5,27;3,24;2776
0,54;"E";5,24;5,26;3,23;2776
0,7;"D";5,66;5,73;3,57;2777
0,71;"F";5,67;5,7;3,53;2777
0,71;"F";5,64;5,69;3,56;2777
0,71;"F";5,61;5,64;3,59;2777
0,71;"F";5,87;5,9;3,4;2777
0,7;"E";5,7;5,67;3,53;2777
0,7;"E";5,71;5,64;3,47;2777
0,7;"E";5,79;5,75;3,46;2777
0,7;"E";5,73;5,68;3,49;2777
0,7;"E";5,67;5,63;3,54;2777
0,7;"E";5,73;5,68;3,48;2777
0,7;"E";5,78;5,72;3,51;2777
0,7;"E";5,76;5,7;3,52;2777
0,72;"F";5,82;5,71;3,56;2777
0,7;"E";5,76;5,7;3,43;2777
0,7;"E";5,71;5,68;3,49;2777
0,7;"E";5,77;5,74;3,48;2777
0,7;"E";5,64;5,59;3,6;2777
0,78;"F";5,83;5,8;3,63;2777
0,7;"E";5,6;5,51;3,51;2777
0,52;"F";5,19;5,22;3,19;2778
0,74;"E";5,84;5,8;3,59;2779
0,7;"F";5,61;5,65;3,58;2780
0,71;"F";5,68;5,72;3,54;2780
1,01;"F";6,39;6,36;3,94;2781
0,53;"D";5,34;5,37;3,08;2782
0,7;"E";5,81;5,77;3,31;2782
0,7;"E";5,62;5,54;3,51;2782
0,75;"D";5,78;5,73;3,63;2782
0,72;"D";5,76;5,75;3,5;2782
0,72;"D";5,73;5,69;3,58;2782
0,7;"D";5,68;5,66;3,56;2782
0,75;"F";5,88;5,85;3,6;2782
0,52;"F";5,14;5,18;3,21;2783
0,72;"F";5,69;5,73;3,6;2784
0,72;"F";5,66;5,69;3,61;2787
0,51;"F";5,11;5,15;3,18;2787
0,64;"D";5,54;5,55;3,41;2787
0,71;"D";5,64;5,68;3,58;2788
0,71;"F";5,71;5,65;3,55;2788
1,01;"E";6,29;6,21;4,03;2788
0,77;"F";5,81;5,77;3,72;2789
0,76;"E";5,76;5,85;3,7;2789
0,76;"E";5,92;5,94;3,58;2789
0,76;"E";5,82;5,86;3,61;2789
0,7;"E";5,72;5,75;3,53;2789
0,63;"E";5,48;5,41;3,38;2789
0,63;"E";5,55;5,52;3,37;2789
0,83;"F";6,02;6,05;3,76;2790
0,71;"F";5,77;5,74;3,46;2790
0,71;"F";5,73;5,69;3,53;2790
0,73;"E";5,74;5,78;3,58;2791
0,71;"E";5,83;5,86;3,46;2792
0,71;"E";5,7;5,75;3,54;2792
0,71;"E";5,72;5,77;3,52;2792
0,7;"F";5,71;5,65;3,53;2792
0,7;"F";5,78;5,75;3,5;2792
0,7;"F";5,73;5,68;3,55;2792
0,7;"E";5,66;5,69;3,57;2793
0,7;"E";5,6;5,66;3,61;2793
0,79;"E";5,91;5,86;3,72;2794
0,71;"E";5,81;5,82;3,53;2795
0,81;"F";5,92;5,96;3,72;2795
0,72;"F";5,74;5,72;3,48;2795
0,72;"D";5,73;5,69;3,54;2795
0,73;"E";5,7;5,76;3,62;2796
0,81;"E";6,07;6,1;3,67;2797
0,71;"D";5,67;5,71;3,57;2797
0,71;"D";5,73;5,75;3,52;2797
0,71;"D";5,74;5,69;3,52;2797
0,57;"F";5,34;5,35;3,31;2797
0,51;"D";5,12;5,16;3,17;2797
0,8;"F";6,03;6,01;3,67;2797
1,01;"E";6,19;6,05;4,13;2797
0,83;"E";6,19;6,25;3,61;2799
0,82;"F";5,97;6,02;3,74;2799
0,78;"D";5,91;5,86;3,64;2799
0,7;"E";5,6;5,66;3,5;2800
0,96;"F";6,37;6,41;3,88;2801
0,73;"F";5,8;5,76;3,61;2801
0,73;"F";5,76;5,7;3,59;2801
0,71;"F";5,7;5,67;3,53;2801
0,71;"F";5,9;5,87;3,4;2801
0,71;"F";5,64;5,61;3,59;2801
0,71;"F";5,69;5,64;3,56;2801
0,53;"F";5,22;5,25;3,24;2802
0,72;"E";5,79;5,61;3,59;2802
0,72;"F";5,83;5,7;3,6;2802
0,7;"F";5,63;5,65;3,55;2803
0,74;"E";5,74;5,79;3,66;2803
0,73;"E";5,84;5,89;3,55;2803
0,71;"F";5,7;5,67;3,56;2803
0,71;"F";5,85;5,81;3,38;2803
0,91;"D";6,21;6,15;3,85;2803
0,71;"E";5,62;5,66;3,6;2804
0,71;"E";5,66;5,68;3,63;2804
0,8;"E";5,88;5,96;3,7;2804
0,7;"D";5,69;5,73;3,56;2804
0,72;"F";5,74;5,77;3,55;2804
0,72;"F";5,75;5,7;3,56;2804
0,7;"D";5,68;5,7;3,47;2804
0,72;"D";5,74;5,77;3,58;2804
0,72;"D";5,77;5,8;3,56;2804
0,74;"F";5,85;5,78;3,59;2805
0,74;"F";5,8;5,77;3,58;2805
0,73;"E";5,77;5,81;3,58;2805
0,57;"E";5,34;5,43;3,16;2805
0,73;"F";5,75;5,7;3,58;2805
0,74;"F";5,82;5,75;3,53;2805
0,7;"F";5,72;5,74;3,53;2806
0,71;"F";5,66;5,72;3,54;2807
0,71;"F";5,84;5,9;3,52;2807
0,7;"F";5,64;5,71;3,52;2808
0,58;"E";5,41;5,43;3,3;2808
0,73;"D";5,74;5,7;3,61;2808
0,81;"F";5,85;5,79;3,67;2809
0,81;"D";6,15;6,05;3,61;2809
0,71;"F";5,84;5,8;3,53;2809
1,2;"F";6,73;6,66;4,33;2809
0,7;"F";5,63;5,7;3,5;2810
0,7;"F";5,77;5,84;3,48;2810
0,74;"D";5,81;5,85;3,6;2810
0,7;"F";5,57;5,61;3,51;2810
0,75;"F";5,72;5,76;3,64;2811
0,83;"D";5,98;5,95;3,79;2811
0,7;"F";5,75;5,85;3,45;2812
0,7;"E";5,49;5,53;3,5;2812
0,7;"F";5,63;5,69;3,49;2812
0,29;"E";4,28;4,33;2,66;555
0,29;"E";4,2;4,25;2,63;555
0,31;"F";4,32;4,35;2,68;555
0,29;"F";4,26;4,31;2,64;555
0,43;"E";4,94;5;2,9;555
0,32;"F";4,37;4,42;2,7;556
0,26;"E";4,09;4,12;2,52;556
0,7;"F";5,64;5,72;3,54;2812
0,7;"F";5,66;5,71;3,46;2812
0,71;"D";5,69;5,72;3,56;2812
0,73;"E";5,92;5,89;3,46;2812
0,51;"F";5,15;5,11;3,18;2812
0,84;"E";6;5,95;3,79;2813
0,76;"E";5,86;5,81;3,63;2814
0,76;"E";5,88;5,85;3,62;2814
0,75;"E";5,86;5,83;3,57;2814
0,55;"D";5,23;5,27;3,23;2815
0,76;"F";5,93;6,01;3,49;2815
0,95;"F";6,62;6,53;3,68;2815
0,72;"E";5,99;5,92;3,47;2815
0,96;"E";6,73;6,65;3,55;2815
0,71;"D";5,61;5,69;3,58;2816
0,78;"F";5,96;5,88;3,64;2816
0,71;"E";5,78;5,73;3,53;2817
0,71;"E";5,66;5,64;3,54;2817
0,71;"E";5,69;5,65;3,53;2817
0,63;"F";5,48;5,52;3,38;2817
0,71;"E";5,86;5,83;3,46;2817
0,71;"E";5,75;5,7;3,54;2817
0,71;"E";5,77;5,72;3,52;2817
0,71;"E";5,77;5,73;3,53;2817
0,71;"E";5,6;5,54;3,5;2817
0,7;"E";5,66;5,63;3,52;2818
0,7;"E";5,78;5,73;3,41;2818
0,7;"E";5,64;5,6;3,54;2818
0,86;"F";6,36;6,22;3,73;2818
0,7;"E";5,66;5,61;3,54;2818
0,7;"E";5,91;5,83;3,5;2818
0,7;"F";5,69;5,64;3,5;2818
0,7;"E";5,68;5,64;3,55;2818
0,7;"F";5,76;5,79;3,45;2819
0,86;"F";5,97;5,95;3,83;2819
0,75;"E";5,8;5,78;3,59;2821
0,73;"E";5,77;5,73;3,54;2821
0,53;"E";5,2;5,21;3,22;2821
0,73;"E";5,83;5,76;3,55;2821
0,73;"E";5,72;5,7;3,63;2821
0,73;"E";5,92;5,85;3,51;2821
0,73;"E";5,77;5,68;3,56;2821
0,73;"D";5,84;5,82;3,6;2821
0,73;"E";5,76;5,7;3,62;2821
0,7;"E";5,74;5,71;3,48;2822
0,72;"E";5,84;5,8;3,51;2822
0,72;"E";5,8;5,76;3,52;2822
0,72;"E";5,77;5,7;3,58;2822
0,7;"E";5,73;5,7;3,44;2822
0,6;"F";5,37;5,4;3,34;2822
0,73;"F";5,75;5,78;3,58;2822
0,71;"D";5,71;5,67;3,57;2822
0,71;"D";5,75;5,73;3,52;2822
0,7;"D";5,82;5,75;3,48;2822
0,7;"D";5,75;5,72;3,48;2822
0,71;"D";5,86;5,83;3,52;2822
0,7;"E";5,73;5,68;3,51;2822
0,7;"E";5,71;5,66;3,56;2822
0,7;"D";5,82;5,77;3,46;2822
0,7;"E";5,71;5,66;3,49;2822
0,7;"D";5,62;5,59;3,51;2822
0,7;"D";5,73;5,63;3,51;2822
0,7;"E";5,72;5,68;3,46;2822
0,7;"F";5,8;5,72;3,49;2822
0,7;"D";5,75;5,71;3,52;2822
0,79;"D";5,86;5,9;3,69;2823
0,71;"E";5,71;5,66;3,54;2823
0,61;"E";5,51;5,59;3,4;2823
0,71;"E";5,77;5,73;3,47;2823
0,71;"D";5,74;5,69;3,5;2824
0,74;"E";5,73;5,75;3,62;2824
0,82;"F";6,02;5,97;3,74;2824
0,82;"E";6,05;6,03;3,67;2824
0,73;"E";5,75;5,68;3,58;2826
0,7;"E";5,94;5,88;3,38;2826
0,7;"E";5,66;5,6;3,5;2826
0,7;"D";5,6;5,58;3,54;2826
0,7;"E";5,78;5,74;3,42;2826
0,78;"F";5,97;5,94;3,62;2826
0,96;"F";6,41;6,37;3,88;2826
0,7;"D";5,67;5,7;3,54;2827
0,72;"D";5,68;5,7;3,64;2827
0,7;"D";5,74;5,77;3,49;2828
0,72;"F";5,75;5,7;3,56;2829
0,8;"E";5,91;5,87;3,75;2829
0,59;"E";5,36;5,38;3,33;2829
0,72;"F";5,77;5,74;3,55;2829
0,75;"E";5,88;5,82;3,62;2829
0,8;"E";6,05;6,01;3,63;2829
0,71;"E";5,65;5,7;3,56;2830
0,97;"F";6,41;6,43;3,9;2830
0,53;"F";5,23;5,29;3,19;2830
0,53;"F";5,16;5,19;3,2;2830
0,76;"E";5,89;5,98;3,61;2831
0,72;"E";5,7;5,76;3,57;2831
0,75;"E";5,82;5,87;3,59;2831
0,72;"E";5,73;5,76;3,57;2831
0,72;"F";5,71;5,75;3,58;2832
0,71;"F";5,72;5,66;3,54;2832
0,56;"E";5,28;5,34;3,24;2833
0,7;"D";5,77;5,8;3,45;2833
0,7;"D";5,74;5,76;3,51;2833
0,61;"F";5,45;5,48;3,37;2833
0,7;"F";5,73;5,75;3,49;2833
0,51;"D";5,16;5,19;3,1;2834
0,53;"F";5,2;5,23;3,2;2834
0,77;"E";6,01;5,95;3,63;2834
0,73;"F";5,89;5,81;3,58;2835
0,63;"F";5,47;5,51;3,4;2835
0,7;"E";5,7;5,75;3,52;2835
0,72;"E";5,71;5,73;3,59;2835
0,72;"E";5,78;5,8;3,53;2835
0,75;"F";6,04;5,94;3,57;2835
0,71;"E";5,6;5,65;3,53;2836
0,7;"E";5,69;5,66;3,55;2837
0,7;"E";5,74;5,69;3,53;2837
0,71;"F";5,86;5,82;3,49;2838
0,82;"F";5,83;5,79;3,77;2838
0,72;"F";5,91;5,89;3,47;2838
0,7;"F";5,72;5,64;3,54;2838
0,7;"F";5,69;5,63;3,49;2838
0,7;"F";5,83;5,79;3,45;2838
0,7;"E";5,53;5,49;3,5;2838
0,7;"F";5,71;5,66;3,46;2838
0,7;"F";5,85;5,75;3,45;2838
0,74;"E";5,85;5,89;3,52;2839
0,71;"F";5,74;5,71;3,52;2839
0,7;"F";5,75;5,72;3,53;2839
0,71;"F";5,82;5,68;3,57;2839
0,71;"F";5,84;5,81;3,44;2839
0,71;"F";5,82;5,8;3,43;2839
0,71;"F";5,75;5,72;3,47;2839
0,7;"F";5,73;5,71;3,57;2839
0,7;"E";5,69;5,72;3,54;2839
0,71;"F";5,87;5,82;3,46;2839
0,71;"F";5,7;5,62;3,55;2839
0,75;"F";5,85;5,92;3,52;2840
0,7;"F";5,75;5,8;3,52;2840
0,71;"F";5,88;5,82;3,47;2840
0,92;"D";6,27;6,2;3,86;2840
0,83;"F";6,08;6,04;3,72;2840
0,73;"F";5,9;5,87;3,55;2841
0,71;"D";5,69;5,61;3,58;2841
0,73;"D";5,66;5,71;3,63;2841
0,82;"F";6;6,12;3,74;2841
0,82;"F";5,96;6,02;3,73;2841
0,82;"F";6,12;6,14;3,66;2841
0,52;"F";5,19;5,21;3,18;2841
1;"F";6,6;6,55;3,87;2841
0,73;"D";5,76;5,8;3,55;2841
0,73;"F";5,87;5,77;3,5;2841
0,7;"F";5,8;5,72;3,38;2842
0,7;"E";5,71;5,75;3,45;2843
0,7;"E";5,65;5,67;3,55;2843
0,71;"E";5,76;5,82;3,44;2843
0,81;"F";5,91;5,92;3,74;2843
0,71;"D";5,73;5,79;3,54;2843
0,73;"F";5,73;5,79;3,56;2843
0,72;"E";5,71;5,74;3,55;2843
0,81;"F";5,91;5,95;3,68;2843
0,73;"E";5,92;5,96;3,43;2844
0,7;"E";5,65;5,68;3,51;2844
0,7;"E";5,65;5,68;3,5;2845
0,7;"E";5,83;5,85;3,44;2845
0,79;"D";5,96;5,91;3,65;2846
0,72;"F";5,79;5,84;3,5;2846
0,73;"E";5,92;5,95;3,51;2846
0,7;"E";5,71;5,76;3,53;2846
0,7;"F";5,76;5,84;3,43;2846
0,77;"E";5,84;5,79;3,66;2846
0,72;"E";5,83;5,85;3,52;2847
0,76;"D";5,93;5,88;3,61;2847
0,54;"D";5,25;5,29;3,24;2848
0,75;"D";5,74;5,72;3,7;2848
0,79;"E";5,86;5,84;3,75;2849
0,74;"E";5,75;5,73;3,62;2849
0,7;"E";5,74;5,77;3,51;2850
0,7;"F";5,69;5,79;3,49;2850
0,8;"F";5,89;5,82;3,71;2851
0,66;"D";5,54;5,57;3,45;2851
0,87;"F";6,22;6,07;3,75;2851
0,74;"F";5,85;5,81;3,56;2851
0,58;"E";5,37;5,43;3,27;2852
0,73;"E";5,7;5,79;3,6;2852
0,71;"F";5,67;5,7;3,56;2853
0,79;"D";5,9;5,85;3,69;2853
0,79;"D";6,07;6,03;3,63;2853
0,71;"E";5,73;5,66;3,57;2853
0,7;"E";5,64;5,7;3,54;2854
0,73;"E";5,86;5,76;3,6;2854
0,7;"E";5,91;5,83;3,43;2854
0,68;"F";5,67;5,64;3,49;2854
0,73;"F";5,7;5,75;3,58;2855
0,74;"D";5,8;5,74;3,6;2855
0,98;"E";6,82;6,74;3,61;2855
0,6;"F";5,44;5,49;3,32;2856
0,97;"F";6,43;6,41;3,9;2856
0,26;"E";4,05;4,08;2,53;556
0,26;"E";4,09;4,12;2,55;556
0,34;"E";4,44;4,47;2,82;556
0,34;"E";4,44;4,47;2,83;556
0,34;"E";4,44;4,46;2,82;556
0,34;"E";4,47;4,5;2,79;556
0,32;"E";4,34;4,37;2,79;556
0,33;"F";4,43;4,4;2,75;557
0,33;"F";4,42;4,4;2,78;557
0,77;"F";5,92;5,86;3,58;2856
0,77;"F";5,94;5,9;3,61;2856
0,7;"E";5,68;5,71;3,42;2857
0,72;"E";5,76;5,7;3,57;2857
0,72;"E";5,76;5,73;3,57;2857
0,81;"F";6,02;6,05;3,7;2858
0,81;"F";6;6,05;3,72;2858
0,71;"E";5,76;5,69;3,49;2858
0,7;"E";5,73;5,7;3,51;2858
0,71;"E";5,76;5,68;3,52;2858
0,71;"E";5,68;5,59;3,58;2858
0,76;"E";5,88;5,83;3,67;2858
0,73;"D";5,84;5,8;3,58;2858
0,71;"D";5,74;5,72;3,46;2858
0,7;"E";5,61;5,58;3,56;2858
0,71;"D";5,89;5,84;3,34;2858
0,7;"D";5,76;5,74;3,51;2859
0,7;"D";5,72;5,66;3,55;2859
0,77;"F";5,91;5,88;3,59;2859
0,7;"D";5,8;5,77;3,45;2859
0,75;"F";6,09;5,98;3,37;2859
0,83;"E";6,17;6,12;3,64;2859
0,71;"F";5,68;5,73;3,5;2860
0,6;"E";5,41;5,44;3,35;2860
0,71;"D";5,66;5,6;3,54;2860
0,53;"F";5,23;5,2;3,2;2860
0,71;"D";5,95;5,78;3,56;2861
0,62;"F";5,53;5,56;3,33;2861
0,82;"E";6,01;5,98;3,7;2861
0,66;"D";5,67;5,57;3,43;2861
0,7;"D";5,67;5,72;3,56;2862
0,8;"F";5,9;5,92;3,7;2862
0,8;"D";5,88;5,92;3,69;2862
0,79;"F";5,97;5,91;3,7;2862
0,71;"F";5,65;5,61;3,56;2862
0,7;"E";5,73;5,69;3,35;2862
0,7;"E";5,82;5,77;3,45;2862
1,22;"E";6,93;6,88;4,21;2862
1,01;"E";6,21;6,11;4,18;2862
0,73;"E";5,78;5,64;3,59;2862
0,71;"D";5,8;5,77;3,52;2863
0,84;"F";6,06;6,01;3,76;2863
0,71;"D";5,82;5,75;3,53;2863
0,71;"D";5,82;5,8;3,47;2863
0,71;"D";5,8;5,68;3,54;2863
0,71;"D";5,75;5,7;3,53;2863
0,71;"D";5,79;5,75;3,54;2863
0,71;"D";5,79;5,77;3,5;2863
0,71;"E";5,84;5,8;3,44;2863
0,72;"F";5,91;5,86;3,5;2863
0,72;"E";5,78;5,74;3,51;2863
0,71;"E";5,79;5,75;3,52;2863
0,81;"E";6,07;6,04;3,65;2864
0,73;"D";5,87;5,81;3,55;2865
0,56;"D";5,25;5,3;3,27;2866
0,56;"D";5,27;5,31;3,27;2866
0,71;"E";5,74;5,7;3,56;2866
0,7;"D";5,68;5,61;3,52;2867
0,95;"F";6,49;6,41;3,77;2867
0,82;"F";5,99;5,95;3,72;2867
0,52;"F";5,21;5,19;3,18;2867
0,82;"F";6,12;6;3,74;2867
0,82;"F";6,02;5,96;3,73;2867
0,82;"F";6,14;6,12;3,66;2867
0,96;"F";6,07;5,88;4,1;2867
0,79;"E";5,96;5,9;3,62;2868
0,75;"E";5,78;5,7;3,62;2868
1,08;"D";6,55;6,48;4,03;2869
0,72;"E";5,77;5,84;3,53;2869
0,52;"F";5,16;5,13;3,18;2870
0,83;"E";6;6,05;3,75;2870
0,64;"E";5,56;5,51;3,44;2870
0,72;"F";5,72;5,79;3,54;2870
0,73;"E";5,81;5,78;3,55;2870
0,73;"E";5,76;5,83;3,55;2871
0,73;"E";5,7;5,72;3,63;2871
0,7;"D";5,59;5,62;3,51;2872
0,75;"D";5,87;5,92;3,58;2872
0,7;"D";5,63;5,73;3,51;2872
0,7;"E";5,66;5,71;3,49;2872
0,7;"D";5,71;5,75;3,52;2872
0,7;"D";5,72;5,75;3,48;2872
0,7;"D";5,75;5,82;3,48;2872
0,72;"E";5,89;5,94;3,45;2872
0,74;"E";5,74;5,78;3,59;2872
0,76;"F";5,8;5,86;3,62;2873
0,77;"E";5,8;5,84;3,68;2873
0,76;"E";5,78;5,82;3,64;2873
0,78;"F";5,91;5,82;3,67;2874
0,71;"D";5,69;5,74;3,5;2874
0,7;"F";5,79;5,77;3,41;2874
0,7;"F";5,71;5,67;3,46;2874
0,7;"F";5,77;5,73;3,51;2874
0,7;"F";5,75;5,71;3,53;2874
0,7;"F";5,69;5,65;3,54;2874
0,73;"E";5,68;5,75;3,58;2876
0,79;"E";6,04;5,98;3,64;2876
0,71;"E";5,75;5,7;3,57;2877
0,7;"F";5,82;5,86;3,44;2877
0,79;"F";5,86;5,89;3,69;2878
0,79;"F";5,82;5,89;3,67;2878
0,79;"D";6;6,07;3,6;2878
0,79;"F";5,88;5,9;3,7;2878
0,73;"F";5,81;5,86;3,58;2879
0,63;"E";5,55;5,53;3,34;2879
0,7;"F";5,73;5,7;3,45;2879
0,71;"F";5,71;5,67;3,57;2879
0,72;"F";5,93;5,77;3,33;2879
0,72;"F";5,76;5,73;3,56;2879
0,74;"D";5,72;5,74;3,66;2880
0,71;"E";5,84;5,83;3,5;2881
0,54;"F";5,23;5,26;3,24;2882
0,73;"F";5,87;5,84;3,51;2882
0,88;"F";6,39;6,32;3,6;2882
0,73;"F";5,97;5,92;3,49;2882
0,72;"D";5,75;5,81;3,57;2883
0,84;"F";5,95;6;3,81;2885
0,77;"D";5,9;5,93;3,64;2885
0,8;"E";6,22;6,14;3,48;2885
0,9;"D";6,02;5,9;3,99;2885
0,73;"E";5,79;5,81;3,56;2886
0,72;"E";5,64;5,69;3,55;2886
0,71;"D";5,71;5,79;3,59;2887
0,7;"E";5,66;5,69;3,55;2887
0,7;"E";5,62;5,66;3,58;2889
0,7;"F";5,64;5,75;3,54;2889
0,71;"F";5,69;5,72;3,58;2889
0,5;"E";5,08;5,12;3,17;2889
0,5;"E";5,09;5,11;3,17;2889
0,74;"F";5,83;5,87;3,58;2889
0,77;"F";5,94;5,9;3,66;2889
0,77;"E";5,99;5,95;3,57;2889
0,8;"F";6,07;6;3,71;2890
0,8;"F";5,9;5,87;3,67;2890
0,8;"F";5,97;5,94;3,66;2890
0,8;"F";5,87;5,83;3,73;2890
0,71;"E";5,71;5,79;3,52;2891
0,71;"F";5,73;5,77;3,52;2891
0,71;"E";5,74;5,76;3,54;2891
0,71;"E";5,71;5,75;3,59;2891
0,72;"D";5,78;5,81;3,54;2891
0,71;"D";5,7;5,73;3,56;2891
0,71;"F";5,66;5,71;3,56;2893
0,75;"F";5,78;5,83;3,63;2893
0,81;"E";5,91;5,99;3,71;2894
0,76;"F";5,88;5,92;3,62;2894
0,7;"F";5,66;5,76;3,53;2895
0,53;"F";5,18;5,24;3,21;2896
0,79;"D";5,91;5,96;3,65;2896
0,73;"E";5,82;5,86;3,59;2896
0,77;"D";5,83;5,89;3,64;2896
0,77;"E";5,94;5,88;3,6;2896
0,6;"D";5,48;5,51;3,33;2897
0,76;"E";5,91;5,85;3,59;2897
0,54;"D";5,3;5,34;3,26;2897
0,72;"E";5,69;5,74;3,57;2897
0,72;"F";5,82;5,89;3,48;2897
0,74;"D";5,81;5,77;3,58;2897
0,75;"D";5,83;5,8;3,62;2898
0,77;"D";5,92;5,81;3,67;2898
0,7;"F";5,71;5,72;3,54;2900
0,72;"D";5,68;5,65;3,55;2900
0,8;"F";5,91;5,93;3,71;2901
0,81;"E";5,95;5,9;3,73;2901
0,81;"E";5,97;5,9;3,71;2901
0,74;"E";5,81;5,78;3,59;2901
0,73;"E";5,76;5,73;3,56;2902
0,73;"E";5,82;5,8;3,57;2902
0,71;"E";5,62;5,59;3,62;2902
0,71;"E";5,85;5,8;3,47;2902
0,75;"D";5,78;5,74;3,62;2903
0,75;"D";5,83;5,8;3,62;2903
0,72;"D";5,78;5,75;3,57;2903
0,72;"D";5,79;5,71;3,53;2903
0,72;"E";5,8;5,75;3,53;2903
0,79;"F";5,91;5,94;3,73;2904
0,79;"D";5,85;5,9;3,69;2904
0,7;"E";5,83;5,91;3,43;2904
0,62;"E";5,48;5,52;3,41;2904
0,53;"D";5,16;5,21;3,24;2905
0,74;"D";5,74;5,8;3,6;2906
0,74;"E";5,74;5,76;3,61;2906
0,61;"E";5,42;5,43;3,38;2907
0,61;"E";5,42;5,45;3,39;2907
0,61;"E";5,43;5,45;3,38;2907
0,7;"F";5,69;5,73;3,56;2907
0,71;"F";5,7;5,74;3,54;2907
0,72;"E";5,7;5,73;3,58;2907
0,32;"D";4,41;4,46;2,72;558
0,25;"F";4,05;4,02;2,47;558
0,25;"F";4,04;4,01;2,56;558
0,25;"E";4,13;4,11;2,5;558
0,25;"E";4,04;4,02;2,48;558
0,31;"E";4,4;4,35;2,7;558
0,31;"E";4,44;4,41;2,66;558
0,31;"E";4,37;4,34;2,67;558
0,31;"E";4,38;4,35;2,66;558
0,7;"D";5,75;5,7;3,49;2909
0,7;"D";5,71;5,69;3,47;2909
0,71;"D";5,6;5,66;3,54;2910
0,59;"E";5,39;5,41;3,3;2911
