Region	Altitude	LitterC	Grazing	Tree	incl	baresoil	VegC	Seedl
san	2125	35	0	2	10	0	60	0
gig	1797	10	1	4	40	60	50	0
gig	2191	1	1	9	20	1	99	0
con	1809	1	0	2.5	30	0.1	30	0
gig	1816	1	0	0.5	20	60	45	1
con	2083	10	0	0.5	30	0	60	0
gig	2004	60	1	2	20	0	50	1
gig	2027	30	1	1.5	40	25	50	0
san	1869	0	0	2	30	0	0.5	0
san	2131	1	0	0.5	20	80	60	1
con	1861	5	0	0	20	2	50	1
gig	2201	20	0	5.3	20	0	95	0
gig	2252	10	1	47	40	20	50	0
gig	2277	15	1	30	30	0	30	0
con	2106	1	1	15	10	20	60	0
gig	1857	70	0	1	30	0	90	1
gig	2193	15	1	20	45	2	40	0
gig	1884	1	1	10	30	2	70	0
con	2120	1	1	15	20	0	30	0
gig	2068	30	1	3	0	60	40	0
san	2034	40	0	1	10	3	60	1
san	2077	20	0	1	20	5	80	0
san	2035	59	0	7	10	1	40	0
san	1838	10	0	1	10	30	20	1
con	1832	20	0	0.5	5	0	80	0
gig	1849	80	1	0.25	80	1	90	0
con	2063	50	1	7	5	5	85	0
san	2124	10	0	0.2	30	5	35	1
gig	1857	30	0	1	60	30	40	0
san	1891	1	0	1	20	0	40	0
gig	2181	20	0	2.4	20	0	90	0
gig	2250	5	1	7	30	10	60	0
gig	1867	40	1	5	40	5	70	0
con	2074	10	1	0.5	30	0	45	0
con	2069	90	0	5	10	0	90	0
con	2101	0.1	1	10	10	3	1	0
con	1814	30	0	0	20	0	80	1
con	2144	1	1	5	20	0.5	5	0
con	2107	20	1	15	20	5	80	0
con	1764	90	0	0.1	10	0	80	0
gig	1857	20	0	10	30	40	30	0
san	1827	0.5	0	1	30	2	10	0
san	2116	20	0	0.2	10	0	30	0
san	2037	100	0	0.5	10	0	70	1
san	1899	8	0	1	10	0	80	1
san	2128	10	0	27	20	0	20	0
san	1986	90	0	0.5	20	0	70	1
con	2066	90	1	0.5	5	0	60	1
gig	2003	10	1	5.4	20	10	60	0
